Best after 1999 steps

   > Averages:
   > Pre: 0.24230979897344046 Fit: 0.05122997929966961 Act: 14.603525362298376 Tss: 1430.5852713178294 Num: 516 Size: 468
     - .001#00#0.#0#00###.###0###0-N : [Fi: 0,13] [Ex: 00004,0] [Pr: 0,45] [PE: 0,21] [AS: 006,2] [Ti: 01943] [Nu: 001] [Pa: 001]
     - .#00##0##.00000010.#0###010-N : [Fi: 0,13] [Ex: 00005,0] [Pr: 0,40] [PE: 0,22] [AS: 014,4] [Ti: 01903] [Nu: 001] [Pa: 001]
     - .0#00#000.#####0##.##00#000-W : [Fi: 0,13] [Ex: 00007,0] [Pr: 0,00] [PE: 0,00] [AS: 031,0] [Ti: 01971] [Nu: 001] [Pa: 001]
     - .#0000000.0#000#1#.1##0#000-E : [Fi: 0,13] [Ex: 00010,0] [Pr: 0,12] [PE: 0,11] [AS: 024,2] [Ti: 01998] [Nu: 001] [Pa: 001]
     - .0#000#00.101###00.00#0#010-W : [Fi: 0,13] [Ex: 00003,0] [Pr: 0,00] [PE: 0,00] [AS: 002,7] [Ti: 00784] [Nu: 001] [Pa: 001]
     - .0##00000.#10#0#1#.00101#00-N : [Fi: 0,13] [Ex: 00003,0] [Pr: 0,05] [PE: 0,04] [AS: 001,7] [Ti: 00661] [Nu: 002] [Pa: 001]
     - .###0#000.000#0#10.000#1###-N : [Fi: 0,12] [Ex: 00004,0] [Pr: 0,56] [PE: 0,23] [AS: 016,5] [Ti: 01864] [Nu: 001] [Pa: 001]
     - .00000#00.000#####.1##000#0-W : [Fi: 0,12] [Ex: 00007,0] [Pr: 0,04] [PE: 0,04] [AS: 024,7] [Ti: 01926] [Nu: 001] [Pa: 001]
     - .00000000.###00###.###01##0-N : [Fi: 0,12] [Ex: 00014,0] [Pr: 0,12] [PE: 0,10] [AS: 025,9] [Ti: 01951] [Nu: 001] [Pa: 001]
     - .0####0#1.##000#00.##0###00-N : [Fi: 0,12] [Ex: 00004,0] [Pr: 0,62] [PE: 0,22] [AS: 003,5] [Ti: 01965] [Nu: 002] [Pa: 001]
     - .100000#0.###010#0.0##000##-N : [Fi: 0,12] [Ex: 00024,0] [Pr: 0,82] [PE: 0,22] [AS: 006,4] [Ti: 01898] [Nu: 002] [Pa: 001]
     - .000010##.1#0##0#0.#00##0##-N : [Fi: 0,12] [Ex: 00020,0] [Pr: 0,66] [PE: 0,29] [AS: 006,0] [Ti: 01969] [Nu: 001] [Pa: 001]
     - .00###000.00#0###0.#0###000-S : [Fi: 0,12] [Ex: 00006,0] [Pr: 0,15] [PE: 0,12] [AS: 009,5] [Ti: 01805] [Nu: 001] [Pa: 001]
